rank,company,revenues,revenue % change,profits,profits % change,assets,market val,change in rank 1000,employees,change in rank 500,year
25,Bank of America2019,110584,0.103,28147,0.544,2354507,265938.5,-1,"204,489",-1,2019.00
26,Microsoft2019,110360,0.227,16571,-0.218,258848,904860.9,4,"131,000",4,2019.00
27,Home Depot2019,108203,0.072,11121,0.289,44003,211828,-4,"413,000",-4,2019.00
28,Boeing2019,101127,0.083,10460,0.276,117359,215304.7,-1,"153,000",-1,2019.00
29,Wells Fargo2019,101060,0.034,22393,0.009,1895883,219467.1,-3,"258,700",-3,2019.00
30,Citigroup2019,97120,0.104,18045,-,1917383,145625.4,2,"204,000",2,2019.00
31,Marathon Petroleum2019,97102,0.436,2780,-0.19,92940,40258.2,10,"60,350",10,2019.00
32,Comcast2019,94507,0.118,11731,-0.484,251684,180948,1,"184,000",1,2019.00
33,Anthem2019,92105,0.023,3750,-0.024,71571,73826.6,-4,"63,900",-4,2019.00
34,Dell Technologies2019,90621,0.152,-2310,-,111820,42170.5,1,"157,000",1,2019.00
35,DuPont de Nemours2019,85977,0.372,3844,1.633,188030,120201.4,12,"98,000",12,2019.00
36,State Farm Insurance2019,81732.2,0.043,8788.4,2.983,272518.4,-,-,"56,788",-,2019.00
37,Johnson & Johnson2019,81581,0.067,15297,10.767,152954,372228.9,-,"135,100",-,2019.00
38,IBM2019,79591,0.006,8728,0.517,123382,125560.1,-4,"381,100",-4,2019.00
39,Target2019,75356,0.048,2937,0.001,41290,41440.9,-,"360,000",-,2019.00
40,Freddie Mac2019,73598,-0.014,9235,0.642,2063060,1748.7,-2,"6,621",-2,2019.00
41,United Parcel Service2019,71861,0.091,4791,-0.024,50016,96116.3,3,"364,575",3,2019.00
42,Lowe's2019,71309,0.039,2314,-0.329,34508,87685.5,-2,"245,000",-2,2019.00
43,Intel2019,70848,0.129,21053,1.193,127963,241488.9,3,"107,400",3,2019.00
44,MetLife2019,67941,0.027,5123,0.278,687538,40751,-1,"48,000",-1,2019.00
45,Procter & Gamble2019,66832,0.009,9750,-0.364,118310,260289.4,-3,"92,000",-3,2019.00
46,United Technologies2019,66501,0.111,5269,0.158,134211,111146,5,"240,200",5,2019.00
47,FedEx2019,65450,0.085,4572,0.526,52330,47270.8,3,"359,000",3,2019.00
48,PepsiCo2019,64661,0.018,12515,1.577,77648,172094.7,-3,"267,000",-3,2019.00
49,Archer Daniels Midland2019,64341,0.058,1810,0.135,40833,24156.7,-1,"31,600",-1,2019.00
50,Prudential Financial2019,62992,0.055,4074,-0.482,815078,37517.7,2,"50,492",2,2019.00
51,Centene2019,60116,0.238,900,0.087,30901,21939.7,10,"47,300",10,2019.00
52,Albertsons2019,59924.6,0.004,46.3,-,21812.3,-,1,"275,000",1,2019.00
53,Walt Disney2019,59434,0.078,12598,0.403,98598,199589.9,2,"201,000",2,2019.00
54,Sysco2019,58727.3,0.061,1430.8,0.252,18070.4,34278.8,-,"67,000",-,2019.00
55,HP2019,58472,0.123,5327,1.109,34622,29795.9,3,"55,000",3,2019.00
56,Humana2019,56912,0.058,1683,-0.313,25413,36079.6,-,"41,600",-,2019.00
57,Facebook2019,55838,0.374,22112,0.388,97334,475731.6,19,"35,587",19,2019.00
58,Caterpillar2019,54722,0.204,6147,7.153,78509,77980.3,7,"104,000",7,2019.00
59,Energy Transfer2019,54436,0.146,1694,0.776,88246,40260,5,"11,768",5,2019.00
60,Lockheed Martin2019,53762,0.053,5046,1.52,44876,84887.6,-1,"105,000",-1,2019.00
61,Pfizer2019,53647,0.021,11153,-0.477,159422,235785.1,-4,"92,400",-4,2019.00
62,Goldman Sachs Group2019,52528,0.243,10459,1.44,931796,70414.9,8,"36,600",8,2019.00
63,Morgan Stanley2019,50193,0.15,8748,0.432,853531,72110.8,4,"60,348",4,2019.00
64,Cisco Systems2019,49330,0.028,110,-0.989,108784,237665.5,-2,"74,200",-2,2019.00
65,Cigna2019,48650,0.169,2637,0.179,153226,61058.9,8,"73,800",8,2019.00
66,AIG2019,47389,-0.043,-6,-,491984,37440.1,-6,"49,600",-6,2019.00
67,HCA Healthcare2019,46677,-0.02,3787,0.709,39207,44787,-4,"229,000",-4,2019.00
68,American Airlines Group2019,44541,0.055,1412,-0.264,60580,14262,3,"128,900",3,2019.00
69,Delta Air Lines2019,44438,0.077,3935,0.1,60266,35067.8,6,"88,680",6,2019.00
70,Charter Communications2019,43634,0.049,1230,-0.876,146130,85923.4,4,"98,000",4,2019.00
71,New York Life Insurance2019,43425.3,0.027,880,-0.529,311449.3,-,-2,"11,388",-2,2019.00
72,American Express2019,43281,0.216,6921,1.53,188602,91675.1,14,"59,000",14,2019.00
73,Nationwide2019,43270,-0.015,512.6,1.079,214141.9,-,-7,"30,472",-7,2019.00
74,Best Buy2019,42879,0.017,1464,0.464,12901,19030.2,-2,"125,000",-2,2019.00
75,Liberty Mutual Insurance Group2019,42685,0,2160,126.059,125989,-,-7,"50,000",-7,2019.00
76,Merck2019,42294,0.054,6220,1.598,82637,214680.1,2,"69,000",2,2019.00
77,Honeywell International2019,41802,0.031,6765,3.088,57773,115752.5,-,"114,000",-,2019.00
78,United Continental Holdings2019,41303,0.095,2129,-0.001,44792,21279.5,3,"92,000",3,2019.00
79,TIAA2019,41052.1,0.14,1560.5,0.487,568190.2,-,5,"17,643",5,2019.00
80,Tyson Foods2019,40052,0.047,3024,0.705,29109,25360.5,-,"121,000",-,2019.00
81,Oracle2019,39831,0.056,3825,-0.59,137264,183562.2,1,"137,000",1,2019.00
82,Allstate2019,39815,0.034,2252,-0.294,112249,31264.3,-3,"45,420",-3,2019.00
83,World Fuel Services2019,39750.3,0.18,127.7,-,5676.9,1940.6,8,"5,000",8,2019.00
84,Massachusetts Mutual Life Insurance2019,39267.2,0.172,397.9,-0.224,265812.6,-,9,"9,844",9,2019.00
85,TJX2019,38972.9,0.087,3059.8,0.173,14326,65615.7,-,"270,000",-,2019.00
86,ConocoPhillips2019,38727,0.189,6257,-,69980,75710.1,9,"10,800",9,2019.00
87,Deere2019,37357.7,0.256,2368.4,0.097,70108,50908,15,"74,413",15,2019.00
88,Tech Data2019,37239,0.013,340.6,1.92,12986.6,3779,-5,"14,000",-5,2019.00
89,Enterprise Products Partners2019,36534.2,0.249,4172.4,0.491,56969.8,63579.8,16,"7,000",16,2019.00
90,Nike2019,36397,0.06,1933,-0.544,22536,132529.5,-1,"73,100",-1,2019.00
91,Publix Super Markets2019,36395.7,0.045,2381.2,0.039,18982.5,-,-3,"202,000",-3,2019.00
92,General Dynamics2019,36193,0.169,3345,0.149,45408,48883,7,"105,600",7,2019.00
93,Exelon2019,35985,0.073,2010,-0.467,119666,48623.7,-1,"33,383",-1,2019.00
94,Plains GP Holdings2019,34055,0.299,334,-,26830,3974.4,21,"4,900",21,2019.00
95,3M2019,32765,0.035,5349,0.101,36500,119659.8,2,"93,516",2,2019.00
96,AbbVie2019,32753,0.161,5687,0.071,59352,119125.3,14,"30,000",14,2019.00
97,CHS2019,32683.3,0.02,775.9,9.838,16381.2,-,-1,"10,495",-1,2019.00
98,Capital One Financial2019,32377,0.079,6015,2.035,372538,38340.7,3,"47,600",3,2019.00
99,Progressive2019,31979,0.192,2615.3,0.643,46575,42099.5,13,"37,346",13,2019.00
100,Coca-Cola2019,31856,-0.1,6434,4.155,83216,200334.1,-13,"62,600",-13,2019.00
101,USAA2019,31367.8,0.045,2291.9,-0.054,158506.8,-,-1,"33,689",-1,2019.00
102,Hewlett Packard Enterprise2019,30852,0.069,1908,4.547,55493,21144.9,5,"60,000",5,2019.00
103,Abbott Laboratories2019,30578,0.116,2368,3.964,67173,140412.2,8,"103,000",8,2019.00
104,Twenty-First Century Fox2019,30400,0.067,4464,0.512,53831,-,5,"22,400",5,2019.00
105,Micron Technology2019,30391,0.495,14135,1.778,43376,45739.4,45,"36,000",45,2019.00
106,Travelers2019,30282,0.048,2523,0.227,104233,36126.7,-,"30,400",-,2019.00
107,Rite Aid2019,30215.4,-0.08,943.5,231.783,8989.3,685.7,-13,"48,410",-13,2019.00
108,Northrop Grumman2019,30095,0.166,3229,0.602,37653,45821,10,"85,000",10,2019.00
109,Arrow Electronics2019,29676.8,0.107,716.2,0.782,17784.4,6564.4,4,"20,100",4,2019.00
110,Philip Morris International2019,29625,0.031,7911,0.311,39801,137516.7,-2,"77,400",-2,2019.00
111,Northwestern Mutual2019,29124,-0.007,783,-0.23,272167,-,-7,"5,870",-7,2019.00
112,INTL FCStone2019,27622.7,-0.061,55.5,7.672,7824.7,739.5,-9,"1,701",-9,2019.00
113,PBF Energy2019,27186.1,0.248,128.3,-0.691,8005.4,3732,22,"3,266",22,2019.00
114,Raytheon2019,27058,0.067,2909,0.437,31864,51390.1,5,"67,000",5,2019.00
115,Kraft Heinz2019,26259,0.001,-10229,-1.93,103627,39814.6,-1,"39,000",-1,2019.00
116,Mondelez International2019,25938,0.002,3381,0.157,62729,72171.7,1,"80,000",1,2019.00
117,U.S. Bancorp2019,25775,0.074,7096,0.141,467374,77116.5,5,"75,772",5,2019.00
118,Macy's2019,25739,0.036,1108,-0.284,19194,7388.4,2,"130,000",2,2019.00
119,Dollar General2019,25625,0.092,1589.5,0.033,13204,30960.6,4,"135,000",4,2019.00
120,Nucor2019,25067.3,0.238,2360.8,0.79,17920.6,17784,31,"26,300",31,2019.00
121,Starbucks2019,24719.5,0.104,4518.3,0.566,24156.4,92449.2,11,"291,000",11,2019.00
122,DXC Technology2019,24556,2.228,1751,-,33921,17252.5,252,"150,000",252,2019.00
123,Eli Lilly2019,24555.7,0.074,3232,-,43908.4,134355.9,6,"38,680",6,2019.00
124,Thermo Fisher Scientific2019,24358,0.164,2938,0.32,56232,109215.3,20,"69,200",20,2019.00
125,US Foods Holding2019,24175,0.001,407,-0.084,9186,7597.8,-4,"24,900",-4,2019.00
126,Duke Energy2019,24116,0.04,2666,-0.128,145392,65488.1,-1,"30,083",-1,2019.00
127,Halliburton2019,23995,0.164,1656,-,25982,25565.5,19,"60,000",19,2019.00
128,Cummins2019,23771,0.164,2141,1.143,19062,24839.1,21,"62,610",21,2019.00
129,Amgen2019,23747,0.039,8394,3.242,66416,118220.4,1,"21,500",1,2019.00
130,Paccar2019,23495.7,0.208,2195.1,0.31,25482.4,23630.4,25,"28,000",25,2019.00
131,Southern2019,23495,0.02,2226,1.644,116914,53466.3,-5,"30,286",-5,2019.00
132,CenturyLink2019,23443,0.328,-1733,-2.248,70256,12946.6,34,"45,000",34,2019.00
133,International Paper2019,23306,0,2012,-0.062,33576,18518.9,-9,"53,000",-9,2019.00
134,Union Pacific2019,22832,0.075,5966,-0.443,59147,120865.2,7,"41,967",7,2019.00
135,Dollar Tree2019,22823.3,0.026,-1590.8,-1.928,13501.2,25021,-1,"119,650",-1,2019.00
136,Penske Automotive Group2019,22785.1,0.065,471,-0.232,10904.5,3756.8,3,"27,000",3,2019.00
137,Qualcomm2019,22732,0.02,-4864,-2.972,32686,69023.7,-4,"35,400",-4,2019.00
138,Bristol-Myers Squibb2019,22561,0.086,4920,3.886,34986,77895,7,"23,300",7,2019.00
139,Gilead Sciences2019,22127,-0.152,5455,0.179,63675,82881,-23,"11,000",-23,2019.00
140,Jabil2019,22095.4,0.159,86.3,-0.331,12045.6,4113.9,19,"199,000",19,2019.00
141,ManpowerGroup2019,21991.2,0.045,556.7,0.021,8519.8,4964.7,2,"30,000",2,2019.00
142,Southwest Airlines2019,21965,0.038,2465,-0.293,26243,28690.1,-,"58,803",-,2019.00
143,Aflac2019,21758,0.004,2920,-0.366,140406,37442.5,-6,"11,390",-6,2019.00
144,Tesla2019,21461.3,0.825,-976.1,-,29739.6,48337.8,116,"48,817",116,2019.00
145,AutoNation2019,21412.8,-0.006,396,-0.089,10665.1,3216.9,-7,"26,000",-7,2019.00
146,CBRE Group2019,21340.1,0.502,1063.2,0.538,13456.8,16607,61,"90,000",61,2019.00
147,Lear2019,21148.5,0.033,1149.8,-0.125,11600.7,8470.4,1,"169,000",1,2019.00
148,Whirlpool2019,21037,-0.01,-183,-1.523,18347,8454.6,-8,"92,000",-8,2019.00
149,McDonald's2019,21025.2,-0.079,5924.3,0.141,32811.2,145333.8,-18,"210,000",-18,2019.00
150,Broadcom2019,20848,0.181,12259,6.245,50124,119034.7,-,"15,000",-,2019.00
151,Marriott International2019,20758,-0.093,1907,0.39,23696,42117.1,-24,"176,000",-24,2019.00
152,Western Digital2019,20647,0.081,675,0.7,29235,13978.3,6,"71,600",6,2019.00
153,Visa2019,20609,0.123,10301,0.538,69225,343774.2,8,"17,000",8,2019.00
154,Lennar2019,20571.6,0.627,1695.8,1.092,28566.2,15513.8,76,"11,626",76,2019.00
155,WellCare Health Plans2019,20414.1,0.2,439.8,0.177,11764.7,13569,15,"12,000",15,2019.00
156,Kohl's2019,20229,0.059,801,-0.068,12469,11220.9,1,"81,500",1,2019.00
157,AECOM2019,20155.5,0.107,136.5,-0.598,14681.1,4631.3,7,"87,000",7,2019.00
158,Synnex2019,20053.8,0.176,300.6,-0.002,11480.4,4885.1,11,"231,600",11,2019.00
159,PNC Financial Services2019,19993,0.109,5301,-0.007,382315,55640.1,6,"51,996",6,2019.00
160,Danaher2019,19893,0.085,2650.9,0.064,47832.5,94485.9,2,"71,000",2,2019.00
161,Hartford Financial Services2019,19827,0.031,1807,-,62307,17872.9,-5,"18,500",-5,2019.00
162,Altria Group2019,19627,0.007,6963,-0.319,55638,107648.6,-8,"8,300",-8,2019.00
163,Bank of New York Mellon2019,19214,0.156,4266,0.043,362873,48152.7,12,"51,300",12,2019.00
164,Fluor2019,19166.6,-0.018,224.8,0.175,8913.6,5137.6,-11,"53,349",-11,2019.00
165,Avnet2019,19036.9,-0.168,-156.4,-1.298,9596.8,4702.5,-37,"15,400",-37,2019.00
166,Icahn Enterprises2019,18979,-0.127,1507,-0.38,23396,13874.6,-30,"29,034",-30,2019.00
167,Occidental Petroleum2019,18934,0.426,4131,2.151,43854,49509.5,53,"11,000",53,2019.00
168,Molina Healthcare2019,18890,-0.05,707,-,7154,8890.9,-16,"11,000",-16,2019.00
169,Genuine Parts2019,18735.1,0.149,810.5,0.314,12683,16350.1,8,"50,000",8,2019.00
170,Freeport-McMoRan2019,18628,0.135,2602,0.432,42216,18678.4,6,"26,800",6,2019.00
171,Kimberly-Clark2019,18486,0.012,1410,-0.381,14518,42635.2,-8,"41,000",-8,2019.00
172,Tenet Healthcare2019,18313,-0.112,111,-,22409,2968.6,-25,"102,795",-25,2019.00
173,Synchrony Financial2019,18253,0.093,2790,0.442,106792,22644.6,-,"16,500",-,2019.00
174,CarMax2019,17976.8,0.081,664.1,0.059,17486.3,11690,-,"25,110",-,2019.00
175,HollyFrontier2019,17714.7,0.243,1098,0.363,10994.6,8413.6,31,"3,622",31,2019.00
176,Performance Food Group2019,17619.9,0.051,198.7,1.063,4000.9,4170.2,-5,"15,000",-5,2019.00
177,Sherwin-Williams2019,17534.5,0.17,1108.7,-0.374,19134.3,39918.5,13,"53,368",13,2019.00
178,Emerson Electric2019,17408,0.068,2203,0.451,20390,42083,-,"87,500",-,2019.00
179,NGL Energy Partners2019,17282.7,0.327,-70.9,-1.517,6151.1,1740.2,44,"2,400",44,2019.00
180,XPO Logistics2019,17279,0.123,422,0.24,12270,5868.1,6,"100,000",6,2019.00
181,EOG Resources2019,17275.4,0.541,3419,0.324,33934.5,55209.9,89,"2,800",89,2019.00
182,Applied Materials2019,17253,0.187,3313,-0.035,17773,37652.9,19,"21,000",19,2019.00
183,PG&E2019,16759,-0.022,-6851,-5.162,76995,9390.6,-15,"24,000",-15,2019.00
184,NextEra Energy2019,16727,-0.027,6638,0.234,103702,92439.3,-17,"14,300",-17,2019.00
185,C.H. Robinson Worldwide2019,16631.2,0.118,664.5,0.316,4427.4,11948.8,8,"15,262",8,2019.00
186,Gap2019,16580,0.046,1003,0.183,8049,9911.7,-5,"135,000",-5,2019.00
187,Lincoln National2019,16424,0.152,1641,-0.211,298147,11992,18,"11,034",18,2019.00
188,DaVita2019,16368.6,0.021,159.4,-0.76,19110.3,9033.9,-9,"77,700",-9,2019.00
189,Jones Lang LaSalle2019,16318.4,1.057,484.5,0.906,10025.5,7033.9,167,"90,000",167,2019.00
190,WestRock2019,16285.1,0.096,1906.1,1.691,25360.5,9793.5,4,"45,100",4,2019.00
191,CDW2019,16240.5,0.069,643,0.229,7167.7,14172.1,-2,"9,019",-2,2019.00
192,American Electric Power2019,16195.7,0.05,1923.8,0.006,68802.8,41312.8,-7,"17,582",-7,2019.00
193,Cognizant Technology Solutions2019,16125,0.089,2101,0.397,15913,41665.9,2,"281,600",2,2019.00
194,D.R. Horton2019,16068,0.14,1460.3,0.406,14114.6,15452.2,17,"8,437",17,2019.00
195,Becton Dickinson2019,15983,0.322,311,-0.717,53904,67193.2,56,"76,032",56,2019.00
196,Nordstrom2019,15860,0.025,564,0.291,7886,6879,-13,"74,000",-13,2019.00
197,Netflix2019,15794.3,0.351,1211.2,1.167,25974.4,155673.6,64,"7,100",64,2019.00
198,Aramark2019,15789.6,0.081,567.9,0.519,13720.1,7278.1,2,"227,200",2,2019.00
199,Texas Instruments2019,15784,0.055,5580,0.515,17137,99559.2,-7,"29,888",-7,2019.00
200,General Mills2019,15740.4,0.008,2131,0.286,30624,30987.4,-18,"40,000",-18,2019.00
201,Supervalu2019,15679,-0.021,45,-0.931,4387,-,-21,"23,000",-21,2019.00
202,Colgate-Palmolive2019,15544,0.006,2400,0.186,12161,58931.4,-18,"34,500",-18,2019.00
203,Goodyear Tire & Rubber2019,15475,0.006,693,1.003,16872,4215.6,-16,"64,000",-16,2019.00
204,PayPal Holdings2019,15451,0.18,2057,0.146,43332,121826.1,18,"21,800",18,2019.00
205,PPG Industries2019,15374,0.027,1341,-0.157,16015,26648.8,-14,"47,300",-14,2019.00
206,Omnicom Group2019,15290.2,0.001,1326.4,0.219,24617,16327.2,-18,"70,400",-18,2019.00
207,Celgene2019,15281,0.175,4046,0.376,35480,66242.2,17,"8,852",17,2019.00
208,Jacobs Engineering Group2019,14984.6,0.495,163.4,-0.444,12645.8,10490.3,89,"77,600",89,2019.00
209,Ross Stores2019,14983.5,0.06,1587.5,0.165,6073.7,34501.8,-,"88,100",-,2019.00
210,Marsh & McLennan2019,14950,0.066,1650,0.106,21578,47660.1,2,"66,000",2,2019.00
210,Mastercard2019,14950,0.196,5859,0.497,24860,241550.3,26,"14,800",26,2019.00
212,Land O'Lakes2019,14936.2,0.087,254.5,-0.19,9124.4,-,4,"10,000",4,2019.00
213,Waste Management2019,14914,0.03,1925,-0.012,22650,44128.7,-11,"43,700",-11,2019.00
214,Illinois Tool Works2019,14768,0.032,2563,0.519,14870,46922.6,-10,"48,000",-10,2019.00
215,Ecolab2019,14668.2,0.06,1429.1,-0.053,20074.5,50908.2,-,"49,000",-,2019.00
216,Booking Holdings2019,14527,0.146,3998,0.708,22687,78543.2,13,"24,500",13,2019.00
217,CBS2019,14514,-0.013,1960,4.49,21859,17727.3,-20,"14,750",-20,2019.00
218,Parker-Hannifin2019,14302.4,0.189,1060.8,0.079,15320.1,22201.7,38,"57,170",38,2019.00
219,Principal Financial2019,14237.2,0.01,1546.5,-0.331,243036.1,13968.6,-9,"16,475",-9,2019.00
220,DTE Energy2019,14212,0.127,1120,-0.012,36288,22854.2,12,"10,600",12,2019.00
221,BlackRock2019,14198,0.137,4305,-0.134,159573,67538.1,16,"14,900",16,2019.00
222,United States Steel2019,14178,0.157,1115,1.881,10982,3378.5,24,"29,000",24,2019.00
223,Community Health Systems2019,14155,-0.234,-788,-,15859,433.5,-63,"78,500",-63,2019.00
224,Kinder Morgan2019,14144,0.032,1609,7.792,78866,45294.8,-6,"11,012",-6,2019.00
225,Qurate Retail2019,14070,0.352,916,-0.625,17841,6961.7,63,"27,226",63,2019.00
226,Loews2019,14066,0.024,636,-0.454,78316,14920.6,-9,"17,900",-9,2019.00
227,Arconic2019,14014,0.081,642,-,18693,8658.4,-2,"43,000",-2,2019.00
228,Stanley Black & Decker2019,13982.4,0.097,605.2,-0.506,19408,20610.3,-,"60,767",-,2019.00
229,Textron2019,13972,-0.016,1222,2.98,14264,11846.7,-21,"35,000",-21,2019.00
230,Las Vegas Sands2019,13729,0.066,2413,-0.14,22547,47247.2,-3,"51,500",-3,2019.00
231,Estee Lauder2019,13683,0.157,1108,-0.113,12567,59790.5,27,"46,000",27,2019.00
232,DISH Network2019,13621.3,-0.054,1575.1,-0.249,30587,14827.5,-29,"16,000",-29,2019.00
233,Stryker2019,13601,0.093,3553,2.483,27229,73695.7,7,"36,000",7,2019.00
234,Kellogg2019,13547,0.048,1336,0.053,17780,19722.6,-8,"34,000",-8,2019.00
235,Biogen2019,13452.9,0.096,4430.7,0.745,25288.9,46498,10,"7,800",10,2019.00
236,Alcoa2019,13403,0.15,227,0.046,15938,5224.1,26,"14,000",26,2019.00
237,Anadarko Petroleum2019,13382,0.124,615,-,40376,22828.2,20,"4,700",20,2019.00
238,Dominion Energy2019,13366,0.062,2447,-0.184,77914,61281.9,-5,"16,100",-5,2019.00
239,ADP2019,13325.8,0.076,1620.8,-0.065,37088.7,69587.5,4,"57,000",4,2019.00
240,salesforce.com2019,13282,0.267,1110,7.707,30737,122103.3,45,"35,000",45,2019.00
241,L Brands2019,13236.9,0.048,643.9,-0.345,8090.2,7589.9,-10,"57,200",-10,2019.00
242,Henry Schein2019,13202,0.059,535.9,0.319,8500.5,9100.9,-4,"22,600",-4,2019.00
243,Newell Brands2019,13033.1,-0.116,-6917.9,-3.517,17716.4,6490.1,-47,"37,000",-47,2019.00
244,Guardian Life Ins. Co. of America2019,13014.9,0.045,464.9,0.021,74053,-,-5,"9,556",-5,2019.00
245,BJ's Wholesale Club2019,13007.3,0.02,127.3,1.53,3239.3,3776.6,-,"26,383",-,2019.00
246,BB&T Corp.2019,12996,0.069,3237,0.352,225697,35541,4,"35,852",4,2019.00
247,State Street Corp.2019,12973,0.102,2599,0.194,244626,24919.6,12,"40,142",12,2019.00
248,Viacom2019,12943,-0.024,1719,-0.083,23783,11530.7,-27,"10,880",-27,2019.00
249,Ameriprise Financial2019,12924,0.07,2098,0.418,137216,17345.1,3,"14,062",3,2019.00
250,Core-Mark Holding2019,12903.9,0.056,45.5,0.358,1666.1,1703.2,-3,"8,087",-3,2019.00
251,Reinsurance Group of America2019,12875.7,0.029,715.8,-0.607,64535.2,8922,-17,"2,767",-17,2019.00
252,VF2019,12862.3,0.037,658.6,0.071,10311.3,34382.1,-10,"69,000",-10,2019.00
253,Discover Financial Services2019,12848,0.113,2742,0.306,109553,23215.1,10,"16,600",10,2019.00
254,Global Partners2019,12672.6,0.421,103.9,0.769,2424.3,668.4,77,"2,500",77,2019.00
255,Edison International2019,12657,0.027,-423,-1.749,56715,20174.2,-11,"12,574",-11,2019.00
256,Oneok2019,12593.2,0.034,1151.7,1.97,18231.7,28746.9,-7,"2,684",-7,2019.00
257,Murphy USA2019,12524,0.154,213.6,-0.129,2360.8,2755.6,22,"6,800",22,2019.00
258,Bed Bath & Beyond2019,12349.3,0.011,424.9,-0.38,7040.8,2335.7,-10,"65,000",-10,2019.00
259,Consolidated Edison2019,12337,0.025,1382,-0.094,53920,27230.6,-4,"15,307",-4,2019.00
260,CSX2019,12250,0.074,3309,-0.395,36729,60805.2,5,"22,475",5,2019.00
261,J.C. Penney2019,12019,-0.039,-255,-,7721,471.4,-26,"95,000",-26,2019.00
262,LKQ2019,11876.7,0.206,480.1,-0.1,11393.4,8926.4,38,"51,000",38,2019.00
263,FirstEnergy2019,11864,-0.129,1348,-,40063,22059.6,-44,"12,494",-44,2019.00
264,Steel Dynamics2019,11821.8,0.239,1258.4,0.548,7703.6,7862.8,48,"8,200",48,2019.00
265,Lithia Motors2019,11821.4,0.172,265.7,0.084,5384,2147,29,"13,643",29,2019.00
266,MGM Resorts International2019,11763.1,0.092,466.8,-0.762,30210.7,13777.3,14,"74,500",14,2019.00
267,Tenneco2019,11763,0.268,55,-0.734,13232,1793.2,53,"81,000",53,2019.00
268,Nvidia2019,11716,0.206,4141,0.359,13292,108813.4,38,"13,277",38,2019.00
269,Sempra Energy2019,11687,0.043,1049,3.098,60638,34508.6,2,"16,823",2,2019.00
270,Farmers Insurance Exchange2019,11650.4,-0.035,-70.5,-,17016.3,-,-17,"12,740",-17,2019.00
271,Ball2019,11635,0.059,454,0.214,16554,19335,6,"17,500",6,2019.00
272,Group 1 Automotive2019,11601.4,0.043,157.8,-0.261,5001.1,1186.6,1,"14,570",1,2019.00
273,Unum Group2019,11598.5,0.028,523.4,-0.474,61875.6,7260.8,-6,"9,600",-6,2019.00
274,Xcel Energy2019,11537,0.012,1261,0.098,45987,28903.8,-8,"11,068",-8,2019.00
275,Reliance Steel & Aluminum2019,11534.5,0.187,633.7,0.033,8044.9,6054.5,30,"15,600",30,2019.00
276,Huntsman2019,11527,0.088,337,-0.47,7953,5251.9,6,"10,000",6,2019.00
277,Norfolk Southern2019,11458,0.086,2666,-0.507,36239,49860.3,7,"26,662",7,2019.00
278,Laboratory Corp. of America2019,11333.4,0.085,883.7,-0.303,16185.3,15095.8,8,"61,000",8,2019.00
279,Corning2019,11290,0.116,1066,-,27505,25990.7,14,"51,500",14,2019.00
280,Expedia Group2019,11223,0.116,406,0.074,18033,17515.6,15,"24,500",15,2019.00
