rank,company,revenues,revenue % change,profits,profits % change,assets,market val,change in rank 1000,employees,change in rank 500,year
148,Lear,20467.00,0.103,1313.40,0.347,11945.90,12453.20,3,"165,000",3,2018
149,Cummins,20428.00,0.167,999.00,-0.283,18075.00,26757.30,10,"58,600",10,2018
150,Micron Technology,20322.00,0.639,5089.00,-,35336.00,60470.10,76,"34,100",76,2018
151,Nucor,20252.40,0.250,1318.70,0.656,15841.30,19432.20,18,"25,100",18,2018
152,Molina Healthcare,19883.00,0.118,-512.00,-,8471.00,4867.40,4,"20,000",4,2018
153,Fluor,19521.00,0.025,191.40,-0.320,9327.70,8005.90,-4,"56,706",-4,2018
154,Altria Group,19494.00,0.008,10222.00,-0.282,43202.00,118436.00,-6,"8,300",-6,2018
155,Paccar,19456.40,0.142,1675.20,2.211,23440.20,23297.50,9,"25,000",9,2018
156,Hartford Financial Services,19228.00,0.051,-3131.00,-4.494,225260.00,18391.70,-3,"16,400",-3,2018
157,Kohl's,19095.00,0.022,859.00,0.545,13340.00,11021.20,-7,"85,000",-7,2018
158,Western Digital,19093.00,0.469,397.00,0.640,29860.00,27455.90,59,"67,629",59,2018
159,Jabil,19063.10,0.039,129.10,-0.492,11096.00,5034.50,-7,"170,000",-7,2018
160,Community Health Systems,18477.00,-0.136,-2459.00,-,17450.00,453.90,-30,"86,000",-30,2018
161,Visa,18358.00,0.217,6699.00,0.118,67977.00,270221.60,26,"15,000",26,2018
162,Danaher,18329.70,-0.079,2492.10,-0.024,46648.60,68384.50,-18,"67,000",-18,2018
163,Kimberly-Clark,18259.00,0.003,2278.00,0.052,15151.00,38552.70,-8,"42,000",-8,2018
164,AECOM,18203.40,0.046,339.40,2.531,14397.00,5671.20,-3,"87,000",-3,2018
165,PNC Financial Services,18035.00,0.098,5338.00,0.368,380768.00,71323.30,1,"51,632",1,2018
166,CenturyLink,17656.00,0.011,1389.00,1.219,75611.00,17577.80,-6,"51,000",-6,2018
167,NextEra Energy,17195.00,0.064,5378.00,0.847,97827.00,76894.80,3,"14,000",3,2018
168,PG&E Corp.,17135.00,-0.030,1646.00,0.182,68012.00,22663.90,-11,"23,000",-11,2018
169,Synnex,17045.70,0.212,301.20,0.282,7698.50,4702.10,29,"113,600",29,2018
170,WellCare Health Plans,17007.20,0.195,373.70,0.544,8364.60,8622.20,25,"8,900",25,2018
171,Performance Food Group,16761.80,0.041,96.30,0.410,3804.10,3104.40,-,"14,000",-,2018
172,Sears Holdings,16702.00,-0.246,-383.00,-,7262.00,288.20,-45,"89,000",-45,2018
173,Synchrony Financial,16695.00,0.104,1935.00,-0.140,95808.00,25490.10,12,"16,000",12,2018
174,CarMax,16637.10,0.051,627.00,0.006,16279.40,11201.70,-,"24,344",-,2018
175,Bank of New York Mellon,16621.00,0.060,4090.00,0.153,371758.00,51918.90,2,"52,500",2,2018
176,Freeport-McMoRan,16416.00,0.040,1817.00,-,37302.00,25438.60,-1,"25,200",-1,2018
177,Genuine Parts,16308.80,0.063,616.80,-0.103,12412.40,13182.60,3,"48,000",3,2018
178,Emerson Electric,16301.00,-0.196,1518.00,-0.072,19589.00,43359.40,-39,"76,500",-39,2018
179,DaVita,16038.20,0.055,663.60,-0.246,18948.20,12001.10,2,"74,500",2,2018
180,Supervalu,16009.00,-0.087,650.00,2.652,3580.00,585.00,-22,"29,000",-22,2018
181,Gap,15855.00,0.022,848.00,0.254,7989.00,12146.70,-3,"135,000",-3,2018
182,General Mills,15619.80,-0.057,1657.50,-0.024,21812.60,26715.60,-17,"38,000",-17,2018
183,Nordstrom,15478.00,0.049,437.00,0.234,8115.00,8122.70,5,"76,000",5,2018
184,Colgate-Palmolive,15454.00,0.017,2024.00,-0.171,12676.00,62607.30,-2,"35,900",-2,2018
185,American Electric Power,15424.90,-0.058,1912.60,2.131,64729.10,33766.40,-18,"17,666",-18,2018
186,XPO Logistics,15380.80,0.052,340.20,3.930,12601.60,12210.40,5,"95,000",5,2018
187,Goodyear Tire & Rubber,15377.00,0.014,346.00,-0.726,17064.00,6391.90,-3,"64,000",-3,2018
188,Omnicom Group,15273.60,-0.009,1088.40,-0.052,24931.20,16733.50,-9,"77,300",-9,2018
189,CDW,15191.50,0.087,523.00,0.232,6956.60,10716.90,10,"8,726",10,2018
190,Sherwin-Williams,14983.80,0.264,1772.30,0.565,19958.40,36899.00,46,"52,695",46,2018
191,PPG Industries,14967.00,-0.014,1591.00,0.814,16538.00,27824.40,-8,"47,200",-8,2018
192,Texas Instruments,14961.00,0.119,3682.00,0.024,17642.00,102134.90,14,"29,714",14,2018
193,C.H. Robinson Worldwide,14869.40,0.131,504.90,-0.017,4235.80,13152.60,19,"15,074",19,2018
194,WestRock,14859.70,0.010,708.20,-,25089.00,16371.50,-4,"44,800",-4,2018
195,Cognizant Technology Solutions,14810.00,0.098,1504.00,-0.032,15221.00,47338.10,10,"260,000",10,2018
196,Newell Brands,14742.20,0.111,2748.80,4.208,33135.50,12362.90,12,"49,000",12,2018
197,CBS,14710.00,0.023,357.00,-0.717,20843.00,19668.00,-4,"14,715",-4,2018
198,Envision Healthcare,14700.50,2.204,-228.00,-,16572.60,4647.20,340,"57,750",-,2018
199,Monsanto,14640.00,0.084,2260.00,0.692,21333.00,51443.70,5,"21,900",5,2018
200,Aramark,14604.40,0.013,373.90,0.299,11006.20,9725.10,-8,"215,000",-8,2018
201,Applied Materials,14537.00,0.343,3434.00,0.995,19419.00,58428.70,64,"18,400",64,2018
202,Waste Management,14485.00,0.064,1949.00,0.649,21829.00,36371.70,-1,"42,300",-1,2018
203,DISH Network,14391.40,-0.047,2098.70,0.448,29773.80,17681.50,-17,"17,000",-17,2018
204,Illinois Tool Works,14314.00,0.053,1687.00,-0.171,16780.00,53141.60,-2,"50,000",-2,2018
205,Lincoln National,14257.00,0.070,2079.00,0.744,281763.00,15945.90,2,"9,047",2,2018
206,HollyFrontier,14251.30,0.353,805.40,-,10692.20,8650.20,68,"3,522",68,2018
207,CBRE Group,14209.60,0.087,691.50,0.209,11483.80,16042.40,7,"80,000",7,2018
208,Textron,14198.00,0.030,307.00,-0.681,15340.00,15292.90,-8,"37,000",-8,2018
209,Ross Stores,14134.70,0.099,1362.80,0.219,5722.10,29799.70,10,"82,700",10,2018
210,Principal Financial,14093.20,0.137,2310.40,0.755,253941.20,17643.00,17,"15,378",17,2018
211,D.R. Horton,14091.00,0.159,1038.40,0.172,12184.60,16480.40,21,"7,735",21,2018
212,Marsh & McLennan,14024.00,0.062,1492.00,-0.156,20429.00,41924.40,-2,"64,000",-2,2018
213,Devon Energy,13949.00,0.144,898.00,-,30241.00,16724.70,18,"3,414",18,2018
214,AES,13850.00,-0.031,-1161.00,-,33112.00,7509.80,-20,"10,500",-20,2018
215,Ecolab,13838.30,0.052,1508.40,0.227,19962.40,39523.90,-4,"48,400",-4,2018
216,Land O'Lakes,13740.40,0.038,314.20,0.283,9508.90,-,-7,"10,000",-7,2018
217,Loews,13735.00,0.048,1164.00,0.780,79586.00,16134.30,-4,"18,100",-4,2018
218,Kinder Morgan,13705.00,0.050,183.00,-0.742,79055.00,33223.40,-3,"10,897",-3,2018
219,FirstEnergy,13627.00,-0.037,-1724.00,-,42257.00,16174.80,-23,"15,617",-23,2018
220,Occidental Petroleum,13274.00,0.277,1311.00,-,42026.00,49737.90,58,"11,000",58,2018
221,Viacom,13263.00,0.062,1874.00,0.303,23698.00,12918.90,3,"11,200",3,2018
222,PayPal Holdings,13094.00,0.208,1795.00,0.281,40774.00,91056.20,42,"18,700",42,2018
223,NGL Energy Partners,13022.20,0.109,137.00,-,6320.40,1331.90,14,"2,700",14,2018
224,Celgene,13003.00,0.158,2940.00,0.471,30141.00,67101.60,30,"7,467",30,2018
225,Arconic,12960.00,0.046,-74.00,-,18718.00,11123.90,3,"41,500",3,2018
226,Kellogg,12923.00,-0.007,1269.00,0.829,16350.00,22531.90,-10,"32,944",-10,2018
227,Las Vegas Sands,12882.00,0.129,2806.00,0.680,20687.00,56720.60,22,"50,500",22,2018
228,Stanley Black & Decker,12747.20,0.117,1226.00,0.270,19079.90,23609.90,22,"57,765",22,2018
229,Booking Holdings,12681.10,0.180,2340.80,0.096,25451.30,100459.10,39,"22,900",39,2018
230,Lennar,12646.40,0.155,810.50,-0.111,18745.00,18738.20,30,"9,111",30,2018
231,L Brands,12632.40,0.005,983.00,-0.151,8149.00,10655.20,-11,"59,200",-11,2018
232,DTE Energy,12607.00,0.186,1134.00,0.306,33767.00,18759.90,40,"10,200",40,2018
233,Dominion Energy,12586.00,0.072,2999.00,0.413,76585.00,45344.10,5,"16,200",5,2018
234,Reinsurance Group of America,12515.80,0.086,1822.20,1.598,60514.80,9930.10,12,"2,640",12,2018
235,J.C. Penney,12506.00,-0.003,-116.00,-,8413.00,942.90,-14,"98,000",-14,2018
236,Mastercard,12497.00,0.160,3915.00,-0.035,21329.00,184160.60,31,"13,400",31,2018
237,BlackRock,12491.00,0.120,4970.00,0.567,220217.00,87064.50,18,"13,900",18,2018
238,Henry Schein,12461.50,0.077,406.30,-0.198,7811.20,10329.80,5,"22,000",5,2018
239,Guardian Life Ins. Co. of America,12454.50,-0.036,455.30,0.725,75038.20,-,-21,"9,283",-21,2018
240,Stryker,12444.00,0.099,1020.00,-0.381,22197.00,60041.30,12,"33,000",12,2018
241,Jefferies Financial Group,12407.90,0.141,171.70,0.321,47169.10,8097.60,21,"12,700",21,2018
242,VF,12399.60,0.016,614.90,-0.428,9958.50,29403.30,-12,"69,000",-12,2018
243,ADP,12379.80,0.061,1733.40,0.161,37180.00,50302.20,-3,"58,000",-3,2018
244,Edison International,12320.00,0.038,565.00,-0.569,52580.00,20741.10,-9,"12,521",-9,2018
245,Biogen,12273.90,0.072,2539.10,-0.314,23652.60,57930.10,3,"7,300",3,2018
246,United States Steel,12250.00,0.194,387.00,-,9862.00,6199.90,33,"29,200",33,2018
247,Core-Mark Holding,12225.00,0.062,33.50,-0.382,1782.50,981.20,-,"8,413",-,2018
248,Bed Bath & Beyond,12215.80,0.009,685.10,-0.186,6846.00,2989.20,-15,"65,000",-15,2018
249,Oneok,12173.90,0.365,387.80,0.102,16845.90,23373.30,63,"2,470",63,2018
250,BB&T Corp.,12156.00,0.054,2394.00,-0.013,221642.00,40453.80,-5,"36,484",-5,2018
251,Becton Dickinson,12093.00,-0.031,1100.00,0.127,37734.00,57694.70,-26,"41,933",-26,2018
252,Ameriprise Financial,12075.00,0.029,1480.00,0.126,147470.00,21612.90,-13,"13,312",-13,2018
253,Farmers Insurance Exchange,12071.80,-0.035,-65.40,-,16164.80,-,-31,"13,015",-31,2018
254,First Data,12052.00,0.040,1465.00,2.488,48269.00,14865.40,-12,"22,000",-12,2018
255,Consolidated Edison,12033.00,-0.003,1525.00,0.225,48111.00,24192.30,-21,"15,591",-21,2018
256,Parker-Hannifin,12029.30,0.059,983.40,0.219,15489.90,22755.30,-5,"56,690",-5,2018
257,Anadarko Petroleum,11908.00,0.513,-456.00,-,42086.00,31131.00,87,"4,400",87,2018
258,Estee Lauder,11824.00,0.050,1249.00,0.121,11568.00,55063.60,-5,"46,000",-5,2018
259,State Street Corp.,11774.00,0.107,2177.00,0.016,238425.00,36688.20,12,"36,643",12,2018
260,Tesla,11758.80,0.680,-1961.40,-,28655.40,44954.70,123,"37,543",123,2018
261,Netflix,11692.70,0.324,558.90,1.994,19012.70,128166.70,53,"5,100",53,2018
262,Alcoa,11652.00,0.250,217.00,-,17447.00,8371.50,38,"14,600",38,2018
263,Discover Financial Services,11545.00,0.100,2099.00,-0.123,100087.00,25430.90,14,"16,500",14,2018
264,Praxair,11437.00,0.086,1247.00,-0.169,20436.00,41433.80,11,"26,461",11,2018
265,CSX,11408.00,0.031,5471.00,2.192,35739.00,49427.90,-8,"24,006",-8,2018
266,Xcel Energy,11404.00,0.027,1148.00,0.022,43030.00,23106.80,-10,"11,105",-10,2018
267,Unum Group,11286.80,0.022,994.20,0.067,64013.10,10530.00,-9,"9,400",-9,2018
268,Universal Health Services,11278.90,0.073,752.30,0.071,10761.80,11162.60,8,"72,300",8,2018
269,NRG Energy,11275.00,-0.087,-2153.00,-,23318.00,9698.30,-40,"5,940",-40,2018
270,EOG Resources,11208.30,0.465,2582.60,-,29833.10,60913.20,86,"2,664",86,2018
271,Sempra Energy,11207.00,0.101,256.00,-0.813,50454.00,29351.40,9,"16,046",9,2018
272,"Toys ""R"" Us",11146.00,-0.034,-612.00,-,7262.00,-,-28,"65,000",-28,2018
273,Group 1 Automotive,11123.70,0.022,213.40,0.451,4871.10,1366.40,-12,"14,108",-12,2018
274,Entergy,11074.50,0.021,411.60,-,46707.10,14297.50,-11,"13,504",-11,2018
275,Molson Coors Brewing,11002.80,1.252,1414.20,-0.284,30246.90,16238.00,247,"17,200",-,2018
276,L3 Technologies,11002.00,0.038,677.00,-0.046,12729.00,16283.30,-3,"38,000",-3,2018
